ExecTime,PlaceTime,placeID,PlaceQty,BrokerKey,SecType,SecKey,limit,price,EstPrice,Algo,TranCode,ExchangeID,IndGrpID,SectorID,Currency,MFTotalCost
1393390,9:51,906755,55000,10000226,cbus,153196,mkt,100.236,100.2553,                                                                                                                                                                                                                                                                ,1,0,1336,1389,us,55129.8
1393153,9:51,906756,55000,10000292,cbus,145991,mkt,99.769,99.7505,                                                                                                                                                                                                                                                                ,1,0,1336,1389,us,54872.95
1393013,9:51,906757,65000,10000226,cbus,139831,mkt,101.499,101.4967,                                                                                                                                                                                                                                                                ,1,0,1343,1396,us,65974.35
1377880,9:51,906758,65000,10000235,cbus,151952,mkt,101.299,101.4185,                                                                                                                                                                                                                                                                ,1,0,1331,1384,us,65844.35
1392756,9:51,906759,60000,10000226,cbus,146352,mkt,105.462,105.5002,                                                                                                                                                                                                                                                                ,1,0,1346,1399,us,63277.2
21806,10:17,906793,250000,10000188,tnus,138147,mkt,100.5742188,100.605,                                                                                                                                                                                                                                                                ,1,0,1461,1462,us,251435.5469
36706,10:17,906794,25000,10000165,tnus,147191,mkt,100.2929688,100.2891,                                                                                                                                                                                                                                                                ,1,0,1461,1462,us,25073.24219
492540,10:34,906806,1000000,10000190,mbus,147453,mkt,113.071,113.071,                                                                                                                                                                                                                                                                ,0,0,1312,1365,us,1130710
3919606,11:13,906821,365000,10000190,mbus,170198,mkt,111.765,111.765,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,407942.25
3908473,11:13,906822,300000,10000190,mbus,170197,mkt,112.017,112.017,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,336051
3809350,11:13,906823,420000,10000190,mbus,170194,mkt,106.232,106.232,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,446174.4
3826236,11:13,906824,500000,10000190,mbus,170195,mkt,106.455,106.455,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,532275
3799140,11:13,906825,175000,10000190,mbus,170193,mkt,105.559,105.559,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,184728.25
3964993,11:13,906826,380000,10000190,mbus,170199,mkt,111.625,111.625,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,424175
3965880,11:13,906827,580000,10000190,mbus,170200,mkt,110.352,110.352,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,640041.6
3885613,11:13,906828,335000,10000190,mbus,170196,mkt,111.733,111.733,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,374305.55
2146846,11:30,906868,160000,10000192,mbus,170201,mkt,120.173,120.173,                                                                                                                                                                                                                                                                ,0,0,1323,1376,us,192276.8
2160656,11:30,906869,275000,10000192,mbus,170202,mkt,119.016,119.016,                                                                                                                                                                                                                                                                ,0,0,1323,1376,us,327294
224943,11:44,906908,820000,10000190,mbus,170206,mkt,115.231,115.231,                                                                                                                                                                                                                                                                ,0,0,1314,1367,us,944894.2
130156,12:02,906910,200000,10000189,mbus,170211,mkt,108.646,108.646,                                                                                                                                                                                                                                                                ,0,0,1311,1364,us,217292
1046913,12:02,906911,200000,10000190,mbus,170209,mkt,98.351,98.351,                                                                                                                                                                                                                                                                ,0,0,1317,1370,us,196702
8955233,12:14,906917,335000,10000185,mbus,160883,mkt,106.432,106.648,                                                                                                                                                                                                                                                                ,1,0,1311,1364,us,356547.2
